Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2002,February,F,70-74,0
2002,February,F,75+,0
2002,February,F,Total,85
2002,February,T,0-4,29
2002,February,T,9-May,18
2002,February,T,14-Oct,15
2002,February,T,15-19,18
2002,February,T,20-24,21
2002,February,T,25-29,12
2002,February,T,30-34,13
2002,February,T,35-39,12
2002,February,T,40-44,7
2002,February,T,45-49,6
2002,February,T,50-54,6
2002,February,T,55-59,7
2002,February,T,60-64,1
2002,February,T,65-69,0
2002,February,T,70-74,0
2002,February,T,75+,0
2002,February,T,Total,165
2002,March,M,0-4,11
2002,March,M,9-May,7
2002,March,M,14-Oct,7
2002,March,M,15-19,10
2002,March,M,20-24,11
2002,March,M,25-29,9
2002,March,M,30-34,9
2002,March,M,35-39,9
2002,March,M,40-44,4
2002,March,M,45-49,9
2002,March,M,50-54,5
2002,March,M,55-59,7
2002,March,M,60-64,3
2002,March,M,65-69,2
2002,March,M,70-74,0
2002,March,M,75+,0
2002,March,M,Total,103
2002,March,F,0-4,10
2002,March,F,9-May,11
2002,March,F,14-Oct,9
2002,March,F,15-19,14
2002,March,F,20-24,6
2002,March,F,25-29,9
2002,March,F,30-34,7
2002,March,F,35-39,9
2002,March,F,40-44,6
2002,March,F,45-49,11
2002,March,F,50-54,3
2002,March,F,55-59,3
2002,March,F,60-64,2
2002,March,F,65-69,0
2002,March,F,70-74,0
2002,March,F,75+,1
2002,March,F,Total,101
2002,March,T,0-4,21
2002,March,T,9-May,18
2002,March,T,14-Oct,16
2002,March,T,15-19,24
2002,March,T,20-24,17
2002,March,T,25-29,18
2002,March,T,30-34,16
2002,March,T,35-39,18
2002,March,T,40-44,10
2002,March,T,45-49,20
2002,March,T,50-54,8
2002,March,T,55-59,10
2002,March,T,60-64,5
2002,March,T,65-69,2
2002,March,T,70-74,0
2002,March,T,75+,1
2002,March,T,Total,204
2002,April,M,0-4,22
2002,April,M,9-May,18
2002,April,M,14-Oct,10
2002,April,M,15-19,14
2002,April,M,20-24,8
2002,April,M,25-29,9
2002,April,M,30-34,11
2002,April,M,35-39,12
2002,April,M,40-44,13
2002,April,M,45-49,2
2002,April,M,50-54,4
2002,April,M,55-59,4
2002,April,M,60-64,4
2002,April,M,65-69,1
2002,April,M,70-74,0
2002,April,M,75+,0
2002,April,M,Total,132
2002,April,F,0-4,18
2002,April,F,9-May,21
2002,April,F,14-Oct,22
2002,April,F,15-19,19
2002,April,F,20-24,13
2002,April,F,25-29,11
2002,April,F,30-34,11
2002,April,F,35-39,10
2002,April,F,40-44,7
2002,April,F,45-49,9
2002,April,F,50-54,2
2002,April,F,55-59,2
2002,April,F,60-64,3
2002,April,F,65-69,1
2002,April,F,70-74,0
2002,April,F,75+,0
2002,April,F,Total,149
2002,April,T,0-4,40
2002,April,T,9-May,39
2002,April,T,14-Oct,32
2002,April,T,15-19,33
2002,April,T,20-24,21
2002,April,T,25-29,20
2002,April,T,30-34,22
2002,April,T,35-39,22
2002,April,T,40-44,20
2002,April,T,45-49,11
2002,April,T,50-54,6
2002,April,T,55-59,6
2002,April,T,60-64,7
2002,April,T,65-69,2
2002,April,T,70-74,0
2002,April,T,75+,0
2002,April,T,Total,281
2002,May,M,0-4,25
2002,May,M,9-May,13
2002,May,M,14-Oct,19
2002,May,M,15-19,21
2002,May,M,20-24,21
2002,May,M,25-29,16
2002,May,M,30-34,13
2002,May,M,35-39,8
2002,May,M,40-44,6
2002,May,M,45-49,5
2002,May,M,50-54,4
2002,May,M,55-59,5
2002,May,M,60-64,3
2002,May,M,65-69,3
2002,May,M,70-74,0
2002,May,M,75+,0
2002,May,M,Total,162
2002,May,F,0-4,25
2002,May,F,9-May,20
2002,May,F,14-Oct,14
2002,May,F,15-19,17
